QF4: hspd=20.3808, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3807, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3806, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3805, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3804, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3803, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3802, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3801, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.38, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3799, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3603, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3602, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3601, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.36, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3599, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3598, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3597, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3596, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3595, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3594, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3593, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3592, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3591, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.359, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3589, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3588, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3587, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3586, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3585, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3584, x=3307.4414, y=1610.9043, x_hex=0x454eb710, y_hex=0x44c95cf0, type=overlap
QF4: hspd=20.3388, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.3387, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.3386, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.3385, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.3384, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.3383, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.3382, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.3381, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.338, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.3379, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.3378, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.3377, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.3376, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.3375, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.3374, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.3373, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.3372, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
