===== QF 1 =====

===== QF 2 =====

===== QF 3 =====

===== QF 4 =====
hspd=19.6063, y=1610.0576, x=3307.0098
hspd=19.6062, y=1610.0576, x=3307.0098
hspd=19.6061, y=1610.0576, x=3307.0098
hspd=19.6060, y=1610.0576, x=3307.0098
hspd=19.6059, y=1610.0576, x=3307.0098
hspd=19.6058, y=1610.0576, x=3307.0098
hspd=19.6057, y=1610.0576, x=3307.0098
hspd=19.6056, y=1610.0576, x=3307.0098
hspd=19.6055, y=1610.0576, x=3307.0098

